matrix                                     | HyPre(it/relres/verdict) | AC(it/relres/verdict) 
------------------------------------------------------------------------------------------------
uni_bndry_chimera.n100000.s10              | 8/5.089628e-09/PASS      | 28/1.249990e-09/PASS  
uni_bndry_chimera.n100000.s11              | 9/2.334908e-09/PASS      | 28/1.707954e-09/PASS  
uni_bndry_chimera.n100000.s12              | 9/5.236067e-09/PASS      | 24/1.278933e-09/PASS  
uni_bndry_chimera.n100000.s13              | 9/3.004256e-09/PASS      | 32/1.255358e-09/PASS  
uni_bndry_chimera.n100000.s14              | 9/6.313828e-09/PASS      | 24/1.072955e-09/PASS  
uni_bndry_chimera.n100000.s15              | 9/2.728525e-09/PASS      | 27/4.568387e-10/PASS  
uni_bndry_chimera.n100000.s16              | 9/2.414807e-09/PASS      | 27/1.578151e-09/PASS  
uni_bndry_chimera.n100000.s17              | 7/1.389001e-09/PASS      | 16/2.077372e-09/PASS  
uni_bndry_chimera.n100000.s18              | 8/7.411499e-09/PASS      | 33/1.198844e-09/PASS  
uni_bndry_chimera.n100000.s19              | 8/4.364797e-09/PASS      | 31/1.291771e-09/PASS  
uni_bndry_chimera.n100000.s1               | 9/1.875635e-09/PASS      | 23/1.967325e-09/PASS  
uni_bndry_chimera.n100000.s20              | 7/8.448521e-09/PASS      | 20/1.938354e-09/PASS  
uni_bndry_chimera.n100000.s21              | 9/3.509549e-09/PASS      | 32/1.073631e-09/PASS  
uni_bndry_chimera.n100000.s22              | 8/6.196951e-09/PASS      | 39/8.677329e-10/PASS  
uni_bndry_chimera.n100000.s23              | 8/1.085148e-09/PASS      | 38/9.221852e-10/PASS  
uni_bndry_chimera.n100000.s24              | 8/2.964931e-09/PASS      | 28/1.276746e-09/PASS  
uni_bndry_chimera.n100000.s25              | 8/6.858116e-09/PASS      | 20/7.496307e-10/PASS  
uni_bndry_chimera.n100000.s26              | 8/4.841549e-09/PASS      | 35/1.542467e-09/PASS  
uni_bndry_chimera.n100000.s27              | 9/7.181727e-09/PASS      | 27/1.217117e-09/PASS  
uni_bndry_chimera.n100000.s28              | 8/6.345566e-09/PASS      | 35/9.687552e-10/PASS  
uni_bndry_chimera.n100000.s29              | 8/6.401122e-09/PASS      | 39/1.064938e-09/PASS  
uni_bndry_chimera.n100000.s2               | 10/4.599368e-09/PASS     | 37/1.692842e-09/PASS  
uni_bndry_chimera.n100000.s30              | 8/1.689494e-09/PASS      | 20/1.501899e-09/PASS  
uni_bndry_chimera.n100000.s31              | 8/5.017084e-09/PASS      | 30/1.178351e-09/PASS  
uni_bndry_chimera.n100000.s32              | 8/8.221698e-10/PASS      | 1/9.793438e-17/PASS   
uni_bndry_chimera.n100000.s33              | 9/3.570402e-09/PASS      | 16/1.547886e-09/PASS  
uni_bndry_chimera.n100000.s34              | 9/3.218875e-09/PASS      | 30/1.277559e-09/PASS  
uni_bndry_chimera.n100000.s35              | -/-/FAIL(crash)          | 23/1.884668e-09/PASS  
