matrix                                     | AMGX(it/relres/verd)     | GPU-AC(it/relres/verd)   | amgx_opc | pool
------------------------------------------------------------------------------------------------------------------
uni_bndry_chimera.n100000.s10              | 13/9.472164e-09/PASS     | 52/3.488886e-09/PASS     |  11.5513 |    4
uni_bndry_chimera.n100000.s11              | 13/3.242552e-09/PASS     | 20/4.838347e-09/PASS     |  6.00899 |    4
uni_bndry_chimera.n100000.s1               | 12/6.848105e-09/PASS     | 19/3.833049e-09/PASS     |  18.8799 |    4
uni_bndry_chimera.n100000.s12              | 14/5.719492e-09/PASS     | 80/3.169938e-09/PASS     |  64.6681 |    4
uni_bndry_chimera.n100000.s13              | 13/5.532739e-09/PASS     | 24/5.032362e-09/PASS     |  15.1623 |    4
uni_bndry_chimera.n100000.s14              | 11/2.738537e-09/PASS     | 16/4.904919e-09/PASS     |  106.295 |    4
uni_bndry_chimera.n100000.s15              | 14/3.026039e-09/PASS     | 31/2.977564e-09/PASS     |  2.04716 |    4
uni_bndry_chimera.n100000.s16              | 14/2.545430e-09/PASS     | 32/4.265775e-09/PASS     |  11.0216 |    4
uni_bndry_chimera.n100000.s17              | 8/1.281324e-09/PASS      | 16/3.577801e-09/PASS     |  5.71515 |    4
uni_bndry_chimera.n100000.s18              | 13/4.484118e-09/PASS     | 28/5.623670e-09/PASS     |  8.48019 |    4
uni_bndry_chimera.n100000.s19              | 13/4.740980e-09/PASS     | 26/7.393692e-09/PASS     |  4.32512 |    4
uni_bndry_chimera.n100000.s20              | 8/8.088236e-09/PASS      | 17/7.228615e-09/PASS     |  4.49155 |    4
uni_bndry_chimera.n100000.s21              | 14/7.661275e-09/PASS     | 81/3.296483e-09/PASS     |  18.7203 |    4
uni_bndry_chimera.n100000.s2               | 14/5.706333e-09/PASS     | 30/3.700003e-09/PASS     |  1.77016 |    4
uni_bndry_chimera.n100000.s22              | 13/5.938350e-09/PASS     | 35/5.000778e-09/PASS     |  2.74862 |    4
uni_bndry_chimera.n100000.s23              | 13/5.323380e-09/PASS     | 34/5.560639e-09/PASS     |  2.52328 |    4
uni_bndry_chimera.n100000.s24              | 12/3.923043e-09/PASS     | 23/3.339610e-09/PASS     |  10.8407 |    4
uni_bndry_chimera.n100000.s25              | 14/4.947715e-09/PASS     | 16/5.007787e-09/PASS     |  1.73716 |    4
uni_bndry_chimera.n100000.s26              | 12/2.260149e-09/PASS     | 26/5.391976e-09/PASS     |  20.5111 |    4
uni_bndry_chimera.n100000.s27              | 10/5.293768e-09/PASS     | 39/4.254066e-09/PASS     |  31.6519 |    4
uni_bndry_chimera.n100000.s28              | 13/3.922980e-09/PASS     | 31/3.988786e-09/PASS     |  15.7744 |    4
uni_bndry_chimera.n100000.s29              | 12/3.615411e-09/PASS     | 32/3.595463e-09/PASS     |  27.4074 |    4
uni_bndry_chimera.n100000.s30              | 9/2.520399e-09/PASS      | 16/7.173233e-09/PASS     |  82.1552 |    4
uni_bndry_chimera.n100000.s31              | 12/7.970030e-09/PASS     | 23/4.267310e-09/PASS     |  8.76057 |    4
uni_bndry_chimera.n100000.s32              | 14/4.965476e-09/PASS     | 1/1.000000e-16/PASS      |  1.71639 |    4
uni_bndry_chimera.n100000.s33              | 14/7.907073e-09/PASS     | 111/3.117874e-09/PASS    |  3.69366 |    4
uni_bndry_chimera.n100000.s34              | 14/2.944395e-09/PASS     | 45/3.632876e-09/PASS     |  16.1913 |    4
uni_bndry_chimera.n100000.s35              | 12/2.644763e-09/PASS     | 18/3.785701e-09/PASS     |  12.9457 |    4
uni_bndry_chimera.n100000.s36              | 13/2.978747e-09/PASS     | 23/4.885789e-09/PASS     |  28.8135 |    4
uni_bndry_chimera.n100000.s37              | 9/9.129144e-09/PASS      | 24/3.008055e-09/PASS     |  9.15639 |    4
